名前,個人ページURL,研究系,教授職,役職,学位,専門分野,研究室Web
"後藤田 洋伸",https://www.nii.ac.jp/faculty/society/gotoda_hironobu/,情報社会相関研究系,准教授,,"1994年 博士（理学）(東京大学）",情報利用,
"佐藤 一郎",https://www.nii.ac.jp/faculty/society/satoh_ichiro/,情報社会相関研究系,教授,,博士(工学),情報制度,
"佐藤 いまり",https://www.nii.ac.jp/faculty/digital_content/sato_imari/,コンテンツ科学研究系,教授,主幹,2005年，博士（学際情報学）,パターンメディア,http://research.nii.ac.jp/pbv/
"佐藤 健",https://www.nii.ac.jp/faculty/informatics/satoh_ken/,情報学プリンシプル研究系,教授,,博士（理学）東京大学,知能情報,http://research.nii.ac.jp/~ksatoh/
"佐藤 真一",https://www.nii.ac.jp/faculty/digital_content/satoh_shinichi/,コンテンツ科学研究系,教授,,1992年工学博士(東京大学),パターンメディア,
"篠崎 資志",https://www.nii.ac.jp/faculty/deputy-director/shinozaki_motoshi/,,教授,副所長,,,
"菅原 朔",https://www.nii.ac.jp/faculty/digital_content/sugawara_saku/,コンテンツ科学研究系,助教,,博士（情報理工学）,コンテンツ基盤,
"杉本 晃宏",https://www.nii.ac.jp/faculty/digital_content/sugimoto_akihiro/,コンテンツ科学研究系,教授,,"1996年　東京大学博士（工学） コンピュータビジョン、ヒューマン・コンピュータ・インタラクション、アルゴリズム、類似画像検索",パターンメディア,http://www.dgcv.nii.ac.jp/
"杉山 麿人",https://www.nii.ac.jp/faculty/informatics/sugiyama_mahito/,情報学プリンシプル研究系,准教授,,2012年　博士（情報学）、京都大学,知能情報,https://mahito.nii.ac.jp/
"関山 太朗",https://www.nii.ac.jp/faculty/architecture/sekiyama_taro/,アーキテクチャ科学研究系,助教,,博士（情報学）,基盤ソフトウェア,
"孫 媛",https://www.nii.ac.jp/faculty/society/sun_yuan/,情報社会相関研究系,准教授,,"1989年, 教育学修士（東京大学）",学術情報,
"高倉 弘喜",https://www.nii.ac.jp/faculty/architecture/takakura_hiroki/,アーキテクチャ科学研究系,教授,,博士（工学）,情報通信ネットワーク,http://www.takakura.com/hiroki/
"高須 淳宏",https://www.nii.ac.jp/faculty/digital_content/takasu_atsuhiro/,コンテンツ科学研究系,教授,所長補佐,1989年　工学博士（東京大学）,コンテンツ基盤,http://www.ldear.nii.ac.jp/~takasu/jp/index.php
"高野 明彦",https://www.nii.ac.jp/faculty/digital_content/takano_akihiko/,コンテンツ科学研究系,教授,,"2000年11月 博士（理学）（東京大学）",コンテンツ基盤,
"高山 健志",https://www.nii.ac.jp/faculty/digital_content/takayama_kenshi/,コンテンツ科学研究系,助教,,博士（情報理工学）、東京大学（2012年）,パターンメディア,http://research.nii.ac.jp/~takayama/index.html
"武田 英明",https://www.nii.ac.jp/faculty/informatics/takeda_hideaki/,情報学プリンシプル研究系,教授,,工学博士（東京大学）,知能情報,http://www-kasm.nii.ac.jp/~takeda/index-j.html
"竹房 あつ子",https://www.nii.ac.jp/faculty/architecture/takefusa_atsuko/,アーキテクチャ科学研究系,教授,,博士（理学）,計算機アーキテクチャ,
"龍田 真",https://www.nii.ac.jp/faculty/informatics/tatsuta_makoto/,情報学プリンシプル研究系,教授,,1993年、東京大学博士(理学),数理論理,
"対馬 かなえ",https://www.nii.ac.jp/faculty/architecture/tsushima_kanae/,アーキテクチャ科学研究系,助教,,博士　(理学),基盤ソフトウェア,
"西澤 正己",https://www.nii.ac.jp/faculty/society/nishizawa_masaki/,情報社会相関研究系,准教授,,博士(理学),学術情報,
"根本 香絵",https://www.nii.ac.jp/faculty/informatics/nemoto_kae/,情報学プリンシプル研究系,教授,,"Ph. D. in Physics",量子情報,http://www.qis.ex.nii.ac.jp/
"橋爪 宏達",https://www.nii.ac.jp/faculty/architecture/hashizume_hiromichi/,アーキテクチャ科学研究系,教授,,工学博士（東京大学）,計算機アーキテクチャ,
"蓮尾 一郎",https://www.nii.ac.jp/faculty/architecture/hasuo_ichiro/,アーキテクチャ科学研究系,准教授,,学術博士（計算機科学）、ナイメーヘン・ラドバウド大学（オランダ）,基盤ソフトウェア,
