部署名,WEBサイト,Youtubeチャンネル、再生リスト,SNSアカウントサイト
調査国際部,調査国際部サイト(http://stage.tksc.jaxa.jp/recruit/jaxa/dept08-02.html),,
新事業促進部,新事業促進部サイト(https://aerospacebiz.jaxa.jp/),"J-SPARCプログラム(https://www.youtube.com/watch?v=Lnhp_JISEiQ&list=PLCQJJ3lTBuyBnQmv7AIYp3qjXghDg1Jfn),共創プロジェクト(https://www.youtube.com/watch?v=1onjUbj4rzY&list=PLCQJJ3lTBuyBauckPmqAfHlrkuwlw-R5s),共創イベント・ワークショップ(https://www.youtube.com/watch?v=btSvgh9WtYE&list=PLCQJJ3lTBuyCgTjVOnL3NmxnKVCP1uumQ),スペースキャリアフォーラム(https://www.youtube.com/watch?v=knUns2-8Ifw&list=PLCQJJ3lTBuyALIrlhyVfUIqgPJNWqULGD),その他(https://www.youtube.com/watch?v=yxe6P4lv8jw&list=PLCQJJ3lTBuyC0bMMuCYPr-AoBJMLfu3g0)","Twitter（@jaxabiz）(https://twitter.com/jaxabiz),Facebook（@jaxabiz）(https://www.facebook.com/jaxabiz/)"
安全・信頼性推進部＊施設部,安全・信頼性推進部＊施設部サイト(http://sma.jaxa.jp/),,
環境試験技術ユニット,環境試験技術ユニットサイト(http://shiken.jaxa.jp/),,
宇宙教育推進室,宇宙教育推進室サイト(http://edu.jaxa.jp/general/),"小学生向け学習教材(https://www.youtube.com/watch?v=gKEZRJfA_sY&list=PLCQJJ3lTBuyAg_g80C45S2HQgEDjqyAwd),中高生向け学習教材(https://www.youtube.com/watch?v=O6MXOC-UWko&list=PL2CE77124A59349B7),教育関係者向け(https://www.youtube.com/watch?v=7e0HKt2_ryg&list=PLCQJJ3lTBuyAKPwdzT0L4oRMO4zZ7JK9j)",Twitter（@spaceedu_info）(https://twitter.com/spaceedu_info)
ワーク・ライフ変革推進室,ワーク・ライフ変革推進室サイト(http://stage.tksc.jaxa.jp/geoffice/),,
人事部,人事部サイト(http://stage.tksc.jaxa.jp/recruit/jaxa/dept07-06.html),,"Twitter（@JAXA_HR）(https://twitter.com/jaxa_hr),Twitter（@JAXArecruit2021）(https://twitter.com/jaxarecruit2021)"
調達部,調達部サイト(http://stage.tksc.jaxa.jp/compe/index_j.html),,
施設部,"施設部サイト(http://stage.tksc.jaxa.jp/shisetsu/),筑波宇宙センター(https://fanfun.jaxa.jp/visit/tsukuba/),種子島宇宙センター(https://fanfun.jaxa.jp/visit/tanegashima/),角田宇宙センター(https://fanfun.jaxa.jp/visit/kakuda/),相模原キャンパス(https://fanfun.jaxa.jp/visit/sagamihara/),内之浦宇宙空間観測所(https://fanfun.jaxa.jp/visit/uchinoura/)",,
筑波宇宙センター,Fan!Fun!JAXA!(https://fanfun.jaxa.jp/visit/tsukuba/),,
種子島宇宙センター,Fan!Fun!JAXA!(https://fanfun.jaxa.jp/visit/tanegashima/),,
角田宇宙センター,Fan!Fun!JAXA!(https://fanfun.jaxa.jp/visit/kakuda/),,
相模原キャンパス,Fan!Fun!JAXA!(https://fanfun.jaxa.jp/visit/sagamihara/),,
内之浦宇宙空間観測所,Fan!Fun!JAXA!(https://fanfun.jaxa.jp/visit/uchinoura/),,
ワシントン駐在事務所,,,Twitter（@jaxa_wdc）(https://twitter.com/jaxa_wdc)
